;;;;;;;;
;Healthcare;1,077;8.75T;0.40%;44.17;4.45%;4.16%;70.98%
;Financials;1,016;13.38T;0.12%;17.60;18.89%;0.97%;23.24%
;Technology;770;25.85T;0.43%;38.68;18.52%;1.16%;43.99%
;Industrials;691;7.31T;1.10%;32.82;7.67%;0.86%;34.74%
;Consumer Discretionary;557;9.66T;0.80%;34.51;5.94%;0.84%;8.93%
;Materials;272;2.86T;1.30%;34.08;7.19%;0.13%;73.29%
;Communication Services;258;8.72T;1.49%;29.30;15.00%;0.49%;38.86%
;Real Estate;256;1.69T;4.35%;42.30;10.59%;-0.68%;4.39%
;Consumer Staples;247;4.55T;1.76%;32.08;4.63%;1.16%;15.42%
;Energy;245;4.06T;3.03%;15.61;6.84%;-1.50%;18.99%
;Utilities;109;1.91T;2.59%;22.21;11.50%;-1.01%;20.19%
