Biotechnology;599;1.12T;0.04%;-;-39.29%;1.32%;73.83%
Banks - Regional;332;2.02T;2.07%;13.81;27.44%;2.11%;35.71%
Software - Application;230;2.28T;0.32%;33.39;15.48%;0.54%;-18.06%
Shell Companies;228;62.89B;-;1,244.25;16.82%;-0.02%;1.71%
Software - Infrastructure;160;5.07T;0.22%;33.66;25.99%;-0.46%;6.23%
Medical Devices;141;940.98B;0.32%;61.05;6.33%;-0.21%;-2.46%
Asset Management;137;1.26T;3.55%;29.50;12.05%;0.13%;-4.93%
Capital Markets;89;1.22T;1.24%;23.85;11.75%;-0.27%;43.31%
Drug Manufacturers - Specialty & Generic;82;348.87B;0.34%;84.72;3.01%;1.56%;1,121.87%
Aerospace & Defense;77;1.81T;1.39%;47.69;7.05%;-0.69%;49.75%
Specialty Industrial Machinery;76;1.22T;0.83%;38.26;10.91%;1.83%;35.60%
Oil & Gas Exploration & Production;76;649.68B;2.53%;15.24;14.74%;-2.52%;2.85%
Internet Content & Information;72;6.24T;0.93%;32.42;27.99%;0.80%;45.78%
Information Technology Services;69;869.43B;0.97%;28.70;7.08%;1.69%;2.08%
Semiconductors;69;9.98T;0.63%;46.64;31.15%;1.21%;74.92%
Packaged Foods;66;235.50B;2.39%;39.27;1.99%;-0.60%;-12.32%
Specialty Chemicals;58;686.42B;1.66%;59.95;4.11%;0.69%;4.73%
Medical Instruments & Supplies;57;527.19B;0.49%;55.14;6.60%;-0.57%;-11.89%
Oil & Gas Midstream;56;853.75B;4.31%;18.78;9.62%;-1.44%;4.70%
Restaurants;56;577.30B;0.92%;34.05;9.71%;0.27%;-1.32%
Auto Parts;55;309.91B;0.44%;41.59;2.62%;0.36%;20.19%
Engineering & Construction;54;399.35B;0.22%;25.67;7.62%;1.14%;66.24%
Credit Services;54;1.72T;1.17%;26.56;23.15%;2.03%;1.20%
Telecom Services;52;1.12T;3.96%;15.80;8.51%;-0.01%;21.06%
Medical Care Facilities;51;237.61B;0.49%;18.81;5.17%;0.96%;34.17%
Oil & Gas Equipment & Services;50;283.13B;1.23%;22.49;7.79%;0.36%;27.68%
Diagnostics & Research;49;784.70B;0.20%;49.89;9.38%;-0.04%;12.39%
Gold;49;721.96B;0.76%;27.19;26.01%;-1.66%;153.01%
Specialty Retail;49;201.70B;1.11%;26.78;3.92%;2.38%;14.73%
Entertainment;49;874.00B;0.57%;32.08;8.39%;-1.62%;8.48%
Health Information Services;47;97.18B;0.23%;-;-2.62%;0.50%;-4.72%
Electrical Equipment & Parts;47;213.28B;0.51%;-;-3.83%;1.94%;146.19%
Electronic Components;47;512.79B;0.33%;43.53;7.20%;2.81%;97.25%
Specialty Business Services;46;359.33B;0.84%;29.60;9.14%;-0.36%;-10.74%
Insurance - Property & Casualty;46;578.06B;0.93%;11.21;12.16%;-0.34%;7.32%
Other Industrial Metals & Mining;46;479.74B;0.99%;20.63;14.46%;0.77%;67.59%
Communication Equipment;45;683.30B;0.40%;39.05;9.28%;2.78%;84.95%
Real Estate Services;45;163.31B;0.82%;59.46;2.09%;-;20.26%
Education & Training Services;43;57.98B;0.62%;24.69;6.54%;1.75%;13.86%
Utilities - Regulated Electric;42;1.32T;3.21%;18.94;13.61%;-1.07%;17.33%
REIT - Mortgage;41;82.06B;11.60%;14.56;36.81%;-0.46%;1.82%
