symbol,universe,sector_id,industry_id,rates,inflation,growth,liquidity,credit_stress,geopolitics,energy_supply,trade_controls,regulation,risk_appetite
NVDA,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
AAPL,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MSFT,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
AMZN,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
GOOGL,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
GOOG,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
META,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
TSLA,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
AVGO,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
BRK.B,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
WMT,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
LLY,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
JPM,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
V,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
XOM,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
JNJ,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ORCL,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MA,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MU,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
COST,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ABBV,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
AMD,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
BAC,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
HD,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
PLTR,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
PG,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
NFLX,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CVX,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
KO,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
GE,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CSCO,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CAT,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MS,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
IBM,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
LRCX,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
GS,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
WFC,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
PM,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MRK,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
RTX,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
UNH,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
AMAT,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
AXP,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
INTC,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MCD,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
TMUS,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
TMO,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
LIN,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
PEP,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
C,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CRM,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
GEV,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
TXN,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
DIS,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ABT,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
KLAC,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
VZ,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SCHW,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
T,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
AMGN,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
NEE,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
BA,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ISRG,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ANET,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
GILD,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
APH,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
BLK,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
APP,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
TJX,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
UBER,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ACN,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
BKNG,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
QCOM,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SPGI,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
DHR,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ADI,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
PFE,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
LOW,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
HON,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
LMT,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
DE,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SYK,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
BSX,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
INTU,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
UNP,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ETN,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
COF,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
MDT,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
WELL,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
COP,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
NOW,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
PANW,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
NEM,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
PGR,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
PLD,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CB,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ADBE,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
VRTX,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
PH,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
BX,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
BMY,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
HCA,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CRWD,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CMCSA,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SBUX,sp500,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
